"Story","Title","Result","Date","Stability","Duration (s)"
"Categories curd info","This will create categories","SUCCESS","2022-06-06T23:27:38.837+01:00[Europe/London]","0.0","5.23"
"Categories curd info","This will fatch single category","SUCCESS","2022-06-06T23:27:44.166+01:00[Europe/London]","0.0","0.13"
"Categories curd info","This will update category","SUCCESS","2022-06-06T23:27:44.311+01:00[Europe/London]","0.0","0.15"
"Categories curd info","This will delete category","SUCCESS","2022-06-06T23:27:44.460+01:00[Europe/London]","0.0","0.46"
"Product curd test","this will create new product ","SUCCESS","2022-06-06T23:27:47.419+01:00[Europe/London]","0.0","0.77"
"Product curd test","This will Get the product by id ","SUCCESS","2022-06-06T23:27:48.186+01:00[Europe/London]","0.0","0.13"
"Product curd test","this will update  product ","SUCCESS","2022-06-06T23:27:48.319+01:00[Europe/London]","0.0","0.12"
"Product curd test","This will delete product ","SUCCESS","2022-06-06T23:27:48.442+01:00[Europe/London]","0.0","0.06"
"Service curd info","this will create service","SUCCESS","2022-06-06T23:27:48.599+01:00[Europe/London]","0.0","0.09"
"Service curd info","This will fatch single service","SUCCESS","2022-06-06T23:27:48.688+01:00[Europe/London]","0.0","0.07"
"Service curd info","This will update service","SUCCESS","2022-06-06T23:27:48.761+01:00[Europe/London]","0.0","0.05"
"Service curd info","This will delete the service","SUCCESS","2022-06-06T23:27:48.811+01:00[Europe/London]","0.0","0.08"
"Store curd info","create a store detail","SUCCESS","2022-06-06T23:27:48.970+01:00[Europe/London]","0.0","0.08"
"Store curd info","Get single store detail","SUCCESS","2022-06-06T23:27:49.048+01:00[Europe/London]","0.0","0.07"
"Store curd info","this will update store detail","SUCCESS","2022-06-06T23:27:49.124+01:00[Europe/London]","0.0","0.06"
"Store curd info","this will delete store detail","SUCCESS","2022-06-06T23:27:49.181+01:00[Europe/London]","0.0","0.1"
